first_name,last_name,id_number
Abebe,Kebede,STU101
Meron,Tadesse,STU102
Samuel,Bekele,STU103
Hana,Alemu,STU104
Dawit,Tesfaye,STU105
Rahel,Getachew,STU106
Biruk,Mekonnen,STU107
Bethel,Assefa,STU108
Yonatan,Haile,STU109
Selam,Abate,STU110
Nahom,Wolde,STU111
Ruth,Demissie,STU112
Henok,Fikru,STU113
Martha,Yohannes,STU114
Elias,Gebre,STU115
Liya,Kassa,STU116
Daniel,Endale,STU117
Saron,Belay,STU118
Natnael,Ayalew,STU119
Eden,Mulu,STU120
Bereket,Tilahun,STU121
Tsion,Worku,STU122
Yared,Chala,STU123
Hiwot,Negash,STU124
Amanuel,Zewdu,STU125
Mahlet,Teshome,STU126
Kalkidan,Seifu,STU127
Moges,Arega,STU128
Bamlak,Deressa,STU129
Feven,Girma,STU130
