first_name,last_name,email,id_number,college,department
ABDULAZIZ,KEDIR,abdulaziz.kedir@gmail.com,MAU1303023,College of Engineering,Computer Science
BEKELE,GETANEH,bekele.getaneh@gmail.com,MAU1401120,College of Business,Business Administration
BEZAWIT,ASMAMAW,bezawit.asmamaw@gmail.com,MAU1401163,College of Social Sciences,Sociology
EDOSA,CHALA,edosa.chala@gmail.com,MAU1400609,College of Engineering,Civil Engineering
ELIAS,DERSO,elias.derso@gmail.com,MAU1400626,College of Natural Sciences,Chemistry
ELIYAS,KINDIE,eliyas.kindie@gmail.com,MAU1400630,College of Medicine,Medicine
ENDALELIGN,ZENEBE,endalelign.znebe@gmail.com,MAU1400655,College of Engineering,Electrical Engineering
EPHREM,BABU,ephrem.babu@gmail.com,MAU1400661,College of Business,Accounting
EYOB,NEGASH,eyob.negash@gmail.com,MAU1400693,College of Law,Law
FIREHIWOT,ZELALEM,firehiwot.zelalem@gmail.com,MAU1401298,College of Health Sciences,Pharmacy
FITSUMKAL,DAGNACHEW,fitsumkal.dagnachew@gmail.com,MAU1401308,College of Engineering,Mechanical Engineering
FUAD,ANWAR,fuad.anwar@gmail.com,MAU1401321,College of Business,Economics
GEBEREMIKAEL,ABITA,geberemikael.abita@gmail.com,MAU1400758,College of Natural Sciences,Biology
HANA,ABEBAW,hana.abebaw@gmail.com,MAU1400931,College of Education,Education
HANA,YAREGAL,hana.yaregal@gmail.com,MAU1400932,College of Medicine,Public Health
MARANATA,ASCHALEW,maranata.aschalew@gmail.com,MAU1401670,College of Arts,History
MEKIDES,DAGNE,mekides.dagne@gmail.com,MAU1400375,College of Health Sciences,Nursing
MENGISTU,BIRHAN,mengistu.birhan@gmail.com,MAU1401752,College of Engineering,Software Engineering
MESERET,BELAY,meseret.belay@gmail.com,MAU1401775,College of Business,Management
MIHRET,EMERU,mihret.emeru@gmail.com,MAU1401817,College of Natural Sciences,Physics
MIKYAS,YENEW,mikyas.yenew@gmail.com,MAU1401822,College of Agriculture,Agronomy
MUHAJIR,HAYRU,muhajir.hayru@gmail.com,MAU1401863,College of Social Sciences,Psychology
MUHAMMED,ENDRIS,muhammed.endris@gmail.com,MAU1401867,College of Engineering,Architecture
NEBIYU,MUSSIE,nebiyu.mussie@gmail.com,MAU1401946,College of Business,Finance
NIGUSU,TIGABU,nigusu.tigabu@gmail.com,MAU1401970,College of Law,International Law
NITSUH,TIGU,nitsuh.tigu@gmail.com,MAU1401974,College of Education,Early Childhood Education
REDIET,TSEGA,rediet.tsega@gmail.com,MAU1402038,College of Health Sciences,Medical Laboratory
REKIK,LEGESE,rekik.legese@gmail.com,MAU1402050,College of Arts,English Literature
SAMUEL,ADMASU,samuel.admasu@gmail.com,MAU1402099,College of Engineering,Chemical Engineering
SNTAYEHU,ALEMAYEHU,sntayehu.alemayehu@gmail.com,MAU1402235,College of Natural Sciences,Mathematics
TADESSE,MERSHA,tadesse.mersha@gmail.com,MAU1402271,College of Business,Marketing
TAREKEGN,ABEBE,tarekegn.abebe@gmail.com,MAU1402284,College of Agriculture,Animal Science
TEMESGEN,MINWYELET,temesgen.minwyelet@gmail.com,MAU1402310,College of Engineering,Industrial Engineering
TIBEBE,DIFABACHEW,tibebe.difabachew@gmail.com,MAU1402341,College of Social Sciences,Anthropology
TSION,TAFESE,tsion.tafese@gmail.com,MAU1402392,College of Arts,Philosophy
TSION,WENDEMU,tsion.wendemu@gmail.com,MAU1402398,College of Education,Curriculum Studies
YENEW,DAREGOT,yenew.daregot@gmail.com,MAU1402494,College of Medicine,Dentistry
YOHAS,HABTAMU,yohas.habtamu@gmail.com,MAU1402527,College of Engineering,Mining Engineering
YONAS,SAHILE,yonas.sahile@gmail.com,MAU1402530,College of Business,Human Resources
