first_name,middle_name,last_name,id_number
ABEBE,TESFAYE,BEYENE,MAU1500001
ALMAZ,GETACHEW,HAILU,MAU1500002
BIRUK,ASSEFA,WONDIMU,MAU1500003
CHALTU,FIKRE,MARIAM,MAU1500004
DEREJE,KEBEDE,ALEMU,MAU1500005
EKUBE,WORKU,AYALEW,MAU1500006
FIKIRTE,MEKONNEN,SISAY,MAU1500007
GIRMA,DEMEKE,TADESSE,MAU1500008
HELINA,TSEGAYE,GEBRE,MAU1500009
ISRAEL,HAILU,MENGISTU,MAU1500010
JEMAL,ALI,MOHAMMED,MAU1500011
KIDIST,HAILE,GEBRESELASSIE,MAU1500012
LEUL,MEBRATU,TEKLE,MAU1500013
MAHLET,GIRMA,WOLDEGIORGIS,MAU1500014
NAHOM,BERHANU,GEBREHIWOT,MAU1500015
OYSTED,TEKLE,HAIMANOT,MAU1500016
RAHEL,ZEWDU,ASFAW,MAU1500017
SOLOMON,TADESSE,KEBEDE,MAU1500018
TSION,GEBREMEDHIN,TEKLE,MAU1500019
WUBSHET,ALEHEGN,BERHE,MAU1500020
YARED,BEKELE,MEKONNEN,MAU1500021
ZEMENU,WORKU,TADESSE,MAU1500022
ABIGIA,ASMAMAW,GETACHEW,MAU1500023
BINIYAM,ESKENDER,HAILU,MAU1500024
CHERINET,FEKADU,ALEMU,MAU1500025
DAGMAWI,GETACHEW,BEKELE,MAU1500026
EBISA,IBRAHIM,ALI,MAU1500027
FREHIWOT,KEBEDE,HAILE,MAU1500028
GOSAYE,LEMMA,MENGESHA,MAU1500029
HIWOT,MEKONNEN,ASSEFA,MAU1500030
IMANI,OMER,SEID,MAU1500031
KALKIDAN,TEFERA,GEBRE,MAU1500032
LIDYA,WONDMAGEGN,TEKLE,MAU1500033
MULUGETA,YIRGA,DESALEGN,MAU1500034
NESRU,HUSSEIN,AHMED,MAU1500035
